ShortCuts_Control_TIPS	快捷键用于终点面板
DisableZone	对CSUR Shift Ramp和Transition以及CSUR高速路禁用格子
DisableWideRoadZone	对CSUR大路禁用格子
DisableBikeRoadZone	对CSUR有自行车道路禁用格子
UpdateZone	读取游戏时候自动重新刷新一把CSUR无格子道路
LaneType	单向/双向/掉头/不对称+1/不对称+2
RoadType	无人行道/仅人行道/人行道和自行车道
StayInLane	对选中的CSUR路口划线保持车道(需要TMPE)
StayInLaneAll	对全部有需要的CSUR路口划线保持车道(需要TMPE) 
Copy	复制
Swap	交换
Clear	清除
Low	低
Medium	中
High	高
Experimental_Function	实验性功能
Function_Button_ShortCut	功能按钮快捷键
ShortCuts_Control	快捷键控制
Lane_Button_ShortCut	车道按钮快捷键
Lane_ShortCut	车道快捷键
From	起点
To	终点
Function_ShortCut	功能快捷键
Debug_Mode	测试模式
EnablePillar	启用桥墩
AlignZone	CSUR路对齐格子
FixLargeJunction	修复过大的路口
NOJunction	复杂的CSUR路口不会出现红绿灯和行人乱穿(重启生效)
TEMPPATCH	调整CSUR路的道路限速和建设价格(重启生效)
